Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2
0.0504365,0.990674,-0.126578,3.22827,0.167671,2.40877
0.133827,0.970687,-0.199642,3.26427,0.158872,2.37732
0.222106,0.935202,-0.2758,3.29958,0.145112,2.34689
0.258789,0.915828,-0.307062,3.2761,0.122899,2.26085
0.298293,0.891692,-0.340452,3.28125,0.121021,2.25959
0.298306,0.891685,-0.340459,3.33362,0.125826,2.31806
0.336843,0.864641,-0.372737,3.31382,0.104684,2.25112
0.336817,0.864652,-0.372734,3.28808,0.117566,2.25774
0.36786,0.840167,-0.398495,3.32692,0.0979991,2.24745
0.336872,0.864623,-0.372752,3.32543,0.0988743,2.24814
